hypothesis,k1,norm,alpha,extra,ndcg10
saturation,1.2,saturation,c=5.0,,0.410108
saturation,1.5,saturation,c=5.0,,0.412247
saturation,1.8,saturation,c=5.0,,0.410852
softplus,1.0,softplus,,,0.400335
softplus,1.2,softplus,,,0.403214
softplus,1.4,softplus,,,0.405081
softplus,1.6,softplus,,,0.404732
softplus,1.8,softplus,,,0.404987
softplus,2.0,softplus,,,0.405967
dualpivot,1.8,dualpivot,ss=0.50,sl=0.25 a=0.40,0.381707
dualpivot,1.8,dualpivot,ss=0.50,sl=0.25 a=0.50,0.382923
dualpivot,1.8,dualpivot,ss=0.50,sl=0.25 a=0.60,0.384289
dualpivot,1.8,dualpivot,ss=0.50,sl=0.50 a=0.40,0.395016
dualpivot,1.8,dualpivot,ss=0.50,sl=0.50 a=0.50,0.396133
dualpivot,1.8,dualpivot,ss=0.50,sl=0.50 a=0.60,0.396398
dualpivot,1.8,dualpivot,ss=0.50,sl=0.75 a=0.40,0.403971
dualpivot,1.8,dualpivot,ss=0.50,sl=0.75 a=0.50,0.403630
dualpivot,1.8,dualpivot,ss=0.50,sl=0.75 a=0.60,0.403534
dualpivot,1.8,dualpivot,ss=0.75,sl=0.25 a=0.40,0.391254
dualpivot,1.8,dualpivot,ss=0.75,sl=0.25 a=0.50,0.392056
dualpivot,1.8,dualpivot,ss=0.75,sl=0.25 a=0.60,0.393043
dualpivot,1.8,dualpivot,ss=0.75,sl=0.50 a=0.40,0.402686
dualpivot,1.8,dualpivot,ss=0.75,sl=0.50 a=0.50,0.403835
dualpivot,1.8,dualpivot,ss=0.75,sl=0.50 a=0.60,0.404564
dualpivot,1.8,dualpivot,ss=0.75,sl=0.75 a=0.40,0.409953
dualpivot,1.8,dualpivot,ss=0.75,sl=0.75 a=0.50,0.410695
dualpivot,1.8,dualpivot,ss=0.75,sl=0.75 a=0.60,0.410522
dualpivot,1.8,dualpivot,ss=1.00,sl=0.25 a=0.40,0.399067
dualpivot,1.8,dualpivot,ss=1.00,sl=0.25 a=0.50,0.399918
dualpivot,1.8,dualpivot,ss=1.00,sl=0.25 a=0.60,0.400666
dualpivot,1.8,dualpivot,ss=1.00,sl=0.50 a=0.40,0.406736
dualpivot,1.8,dualpivot,ss=1.00,sl=0.50 a=0.50,0.408182
dualpivot,1.8,dualpivot,ss=1.00,sl=0.50 a=0.60,0.409736
dualpivot,1.8,dualpivot,ss=1.00,sl=0.75 a=0.40,0.410354
dualpivot,1.8,dualpivot,ss=1.00,sl=0.75 a=0.50,0.411224
dualpivot,1.8,dualpivot,ss=1.00,sl=0.75 a=0.60,0.411855
log_tf,1.2,power,a=0.5,tf=log,0.407287
dlog_tf,1.2,power,a=0.5,tf=dlog,0.406702
capped_tf,1.2,power,a=0.5,tf=cap5,0.401087
capped_tf,1.2,power,a=0.5,tf=cap3,0.399806
log_tf,1.5,power,a=0.5,tf=log,0.409531
dlog_tf,1.5,power,a=0.5,tf=dlog,0.406918
capped_tf,1.5,power,a=0.5,tf=cap5,0.403442
capped_tf,1.5,power,a=0.5,tf=cap3,0.401011
log_tf,1.8,power,a=0.5,tf=log,0.410261
dlog_tf,1.8,power,a=0.5,tf=dlog,0.406341
capped_tf,1.8,power,a=0.5,tf=cap5,0.403874
capped_tf,1.8,power,a=0.5,tf=cap3,0.402857
squared_idf,1.5,power,a=0.5,idf=sq,0.387024
smoothed_idf,1.5,power,a=0.5,idf=sm,0.399019
atire_idf,1.5,power,a=0.5,idf=atire,0.399017
squared_idf,1.8,power,a=0.5,idf=sq,0.386148
smoothed_idf,1.8,power,a=0.5,idf=sm,0.397786
atire_idf,1.8,power,a=0.5,idf=atire,0.398004
delta_sqrt,1.8,power,a=0.5,d=0.5,0.392938
delta_linear,1.2,linear,b=0.75,d=0.5,0.402441
delta_sqrt,1.8,power,a=0.5,d=1.0,0.391550
delta_linear,1.2,linear,b=0.75,d=1.0,0.397101
RankEvolve-inspired norms: both underperform on tuning. Best relog=0.3749, best bidir=0.3706.
