hypothesis,k1,norm,alpha,extra,ndcg10
dualpivot,1.8,dualpivot,ss=0.75,sl=0.75 a=0.50,0.404265
dualpivot,1.8,dualpivot,ss=0.75,sl=0.75 a=0.60,0.405536
dualpivot,1.8,dualpivot,ss=1.00,sl=0.25 a=0.40,0.388952
dualpivot,1.8,dualpivot,ss=1.00,sl=0.25 a=0.50,0.390922
dualpivot,1.8,dualpivot,ss=1.00,sl=0.25 a=0.60,0.392677
dualpivot,1.8,dualpivot,ss=1.00,sl=0.50 a=0.40,0.400132
dualpivot,1.8,dualpivot,ss=1.00,sl=0.50 a=0.50,0.401770
dualpivot,1.8,dualpivot,ss=1.00,sl=0.50 a=0.60,0.403443
dualpivot,1.8,dualpivot,ss=1.00,sl=0.75 a=0.40,0.406094
dualpivot,1.8,dualpivot,ss=1.00,sl=0.75 a=0.50,0.407498
dualpivot,1.8,dualpivot,ss=1.00,sl=0.75 a=0.60,0.408573
log_tf,1.2,power,a=0.5,tf=log,0.403460
dlog_tf,1.2,power,a=0.5,tf=dlog,0.404001
capped_tf,1.2,power,a=0.5,tf=cap5,0.394667
capped_tf,1.2,power,a=0.5,tf=cap3,0.393936
log_tf,1.5,power,a=0.5,tf=log,0.405783
dlog_tf,1.5,power,a=0.5,tf=dlog,0.403937
capped_tf,1.5,power,a=0.5,tf=cap5,0.396885
capped_tf,1.5,power,a=0.5,tf=cap3,0.396691
log_tf,1.8,power,a=0.5,tf=log,0.407090
dlog_tf,1.8,power,a=0.5,tf=dlog,0.403644
capped_tf,1.8,power,a=0.5,tf=cap5,0.397394
capped_tf,1.8,power,a=0.5,tf=cap3,0.398516
squared_idf,1.5,power,a=0.5,idf=sq,0.386384
smoothed_idf,1.5,power,a=0.5,idf=sm,0.392082
atire_idf,1.5,power,a=0.5,idf=atire,0.391703
squared_idf,1.8,power,a=0.5,idf=sq,0.386089
smoothed_idf,1.8,power,a=0.5,idf=sm,0.391584
atire_idf,1.8,power,a=0.5,idf=atire,0.392243
delta_sqrt,1.8,power,a=0.5,d=0.5,0.385172
delta_linear,1.2,linear,b=0.75,d=0.5,0.396361
delta_sqrt,1.8,power,a=0.5,d=1.0,0.381173
delta_linear,1.2,linear,b=0.75,d=1.0,0.390598
